metric	value
family	Chl_ab_binding_proteins
threshold_method	auto:max(q10, median-3.0*MAD)
min_length_threshold	56
viral_total	124
viral_full_length_like	124
viral_fragments	0
cellular_length_n	263
cellular_length_min	42.0
cellular_length_q05	54.0
cellular_length_q10	56.2
cellular_length_q25	67.0
cellular_length_median	120.0
cellular_length_q75	156.5
cellular_length_q90	166.0
cellular_length_max	178.0
cellular_length_mad	42.0
cellular_length_robust_floor_median_minus_3mad	-6.0
cellular_length_chosen_min_length	56.0
