gene_family	total_rows	total_unique_sequences	viral_rows	viral_unique_sequences	viral_unique_mags	viral_unique_clades	cellular_rows	cellular_unique_sequences	viral_fraction_of_unique_sequences	cellular_fraction_of_unique_sequences	analysis_priority_score
Rhodopsin	766	766	150	150	127	12	616	616	0.195822454308094	0.804177545691906	229.0
Phosphate_permease	373	373	95	95	85	10	278	278	0.2546916890080429	0.7453083109919572	212.3
Chl_ab_binding_proteins	392	392	129	129	115	8	263	263	0.32908163265306123	0.6709183673469388	208.05
Superoxide_dismutase	304	304	102	102	72	17	202	202	0.3355263157894737	0.6644736842105263	204.7
Phosphate_starvation_inducible_PhoH	384	384	220	220	157	8	164	164	0.5729166666666666	0.4270833333333333	173.4
Glycolysis_Glyc_3_P_dehydrogenase	308	308	51	51	50	5	257	257	0.16558441558441558	0.8344155844155844	150.95
TCA_succinate_dehydrogenase_subunit_B	229	229	69	69	58	8	160	160	0.30131004366812225	0.6986899563318777	141.0
Glycolysis_phophoglycerate_mutase	218	218	48	48	34	7	170	170	0.22018348623853212	0.7798165137614679	121.5
TCA_cycle_Succ_Dhydrogenase_subunit_C	253	253	32	32	29	2	221	221	0.12648221343873517	0.8735177865612648	113.35
TCA_cycle_Citrate_synthase	264	253	15	15	14	3	249	238	0.05928853754940711	0.9407114624505929	104.3
Ferritin	220	220	11	11	11	9	209	209	0.05	0.95	102.14999999999999
TCA_succinate_dehydrogenase_subunit_A	207	207	26	26	20	3	181	181	0.12560386473429952	0.8743961352657005	95.35
Glycolysis_phosphofructokinase	224	224	10	10	8	3	214	214	0.044642857142857144	0.9553571428571429	90.89999999999999
Phosphate_Sodium(Na)_symporter	170	170	17	17	15	4	153	153	0.1	0.9	78.55
TCA_cycle_Aconitase	153	153	32	32	29	2	121	121	0.20915032679738563	0.7908496732026143	78.35
