gene_family	total_rows	total_unique_sequences	viral_rows	viral_unique_sequences	viral_unique_mags	viral_unique_clades	cellular_rows	cellular_unique_sequences	viral_fraction_of_unique_sequences	cellular_fraction_of_unique_sequences
Phosphate_starvation_inducible_PhoH	384	384	220	220	157	8	164	164	0.5729166666666666	0.4270833333333333
Rhodopsin	766	766	150	150	127	12	616	616	0.195822454308094	0.804177545691906
Chl_ab_binding_proteins	392	392	129	129	115	8	263	263	0.32908163265306123	0.6709183673469388
Superoxide_dismutase	304	304	102	102	72	17	202	202	0.3355263157894737	0.6644736842105263
Phosphate_permease	373	373	95	95	85	10	278	278	0.2546916890080429	0.7453083109919572
TCA_succinate_dehydrogenase_subunit_B	229	229	69	69	58	8	160	160	0.30131004366812225	0.6986899563318777
Glycolysis_Glyc_3_P_dehydrogenase	308	308	51	51	50	5	257	257	0.16558441558441558	0.8344155844155844
Glycolysis_phophoglycerate_mutase	218	218	48	48	34	7	170	170	0.22018348623853212	0.7798165137614679
TCA_cycle_Succ_Dhydrogenase_subunit_C	253	253	32	32	29	2	221	221	0.12648221343873517	0.8735177865612648
TCA_cycle_Aconitase	153	153	32	32	29	2	121	121	0.20915032679738563	0.7908496732026143
TCA_succinate_dehydrogenase_subunit_A	207	207	26	26	20	3	181	181	0.12560386473429952	0.8743961352657005
Phosphate_Sodium(Na)_symporter	170	170	17	17	15	4	153	153	0.1	0.9
TCA_cycle_Citrate_synthase	264	253	15	15	14	3	249	238	0.05928853754940711	0.9407114624505929
Ferritin	220	220	11	11	11	9	209	209	0.05	0.95
Glycolysis_phosphofructokinase	224	224	10	10	8	3	214	214	0.044642857142857144	0.9553571428571429
Ammonium_transporter_AmT	222	222	8	8	7	5	214	214	0.036036036036036036	0.963963963963964
Glycolysis_Enolase	180	180	8	8	8	4	172	172	0.044444444444444446	0.9555555555555556
Glycolysis_Phosphoglyceratekinase	264	264	0	0	0	0	264	264	0.0	1.0
