gene_family	domain_group	supergroup	rows	unique_sequences	unique_mags	unique_clades
Ammonium_transporter_AmT	Eukaryota	cellular	110	110	0	0
Ammonium_transporter_AmT	Bacteria	cellular	61	61	0	0
Ammonium_transporter_AmT	Archaea	cellular	43	43	0	0
Ammonium_transporter_AmT	This_study	viral	8	8	7	5
Chl_ab_binding_proteins	Eukaryota	cellular	187	187	0	0
Chl_ab_binding_proteins	Bacteria	cellular	76	76	0	0
Chl_ab_binding_proteins	This_study	viral	129	129	115	8
Ferritin	Eukaryota	cellular	119	119	0	0
Ferritin	Bacteria	cellular	72	72	0	0
Ferritin	Archaea	cellular	18	18	0	0
Ferritin	This_study	viral	11	11	11	9
Glycolysis_Enolase	Bacteria	cellular	76	76	0	0
Glycolysis_Enolase	Eukaryota	cellular	57	57	0	0
Glycolysis_Enolase	Archaea	cellular	39	39	0	0
Glycolysis_Enolase	This_study	viral	8	8	8	4
Glycolysis_Glyc_3_P_dehydrogenase	Bacteria	cellular	150	150	0	0
Glycolysis_Glyc_3_P_dehydrogenase	Eukaryota	cellular	64	64	0	0
Glycolysis_Glyc_3_P_dehydrogenase	Archaea	cellular	43	43	0	0
Glycolysis_Glyc_3_P_dehydrogenase	This_study	viral	51	51	50	5
Glycolysis_Phosphoglyceratekinase	Bacteria	cellular	107	107	0	0
Glycolysis_Phosphoglyceratekinase	Eukaryota	cellular	71	71	0	0
Glycolysis_Phosphoglyceratekinase	Archaea	cellular	62	62	0	0
Glycolysis_Phosphoglyceratekinase	This_sutdy	cellular	24	24	23	4
Glycolysis_phophoglycerate_mutase	Bacteria	cellular	83	83	0	0
Glycolysis_phophoglycerate_mutase	Eukaryota	cellular	74	74	0	0
Glycolysis_phophoglycerate_mutase	Archaea	cellular	13	13	0	0
Glycolysis_phophoglycerate_mutase	This_study	viral	48	48	34	7
Glycolysis_phosphofructokinase	Bacteria	cellular	119	119	0	0
Glycolysis_phosphofructokinase	Eukaryota	cellular	87	87	0	0
Glycolysis_phosphofructokinase	Archaea	cellular	8	8	0	0
Glycolysis_phosphofructokinase	This_study	viral	10	10	8	3
Phosphate_Sodium(Na)_symporter	Bacteria	cellular	89	89	0	0
Phosphate_Sodium(Na)_symporter	Eukaryota	cellular	54	54	0	0
Phosphate_Sodium(Na)_symporter	Archaea	cellular	10	10	0	0
Phosphate_Sodium(Na)_symporter	This_study	viral	17	17	15	4
Phosphate_permease	Eukaryota	cellular	137	137	0	0
Phosphate_permease	Bacteria	cellular	91	91	0	0
Phosphate_permease	Archaea	cellular	50	50	0	0
Phosphate_permease	This_study	viral	95	95	85	10
Phosphate_starvation_inducible_PhoH	Bacteria	cellular	97	97	0	0
Phosphate_starvation_inducible_PhoH	Other_viruses	cellular	58	58	0	0
Phosphate_starvation_inducible_PhoH	Eukaryota	cellular	9	9	0	0
Phosphate_starvation_inducible_PhoH	This_study	viral	220	220	157	8
Rhodopsin	Environmental_unclassified	cellular	350	350	0	0
Rhodopsin	Bacteria	cellular	252	252	0	0
Rhodopsin	Archaea	cellular	13	13	0	0
Rhodopsin	Eukaryota	cellular	1	1	0	0
Rhodopsin	This_study	viral	150	150	127	12
Superoxide_dismutase	Bacteria	cellular	94	94	0	0
Superoxide_dismutase	Eukaryota	cellular	65	65	0	0
Superoxide_dismutase	Other_viruses	cellular	28	28	0	0
Superoxide_dismutase	Archaea	cellular	15	15	0	0
Superoxide_dismutase	This_study	viral	102	102	72	17
TCA_cycle_Aconitase	Bacteria	cellular	100	100	0	0
TCA_cycle_Aconitase	Eukaryota	cellular	21	21	0	0
TCA_cycle_Aconitase	This_study	viral	32	32	29	2
TCA_cycle_Citrate_synthase	Bacteria	cellular	122	122	0	0
TCA_cycle_Citrate_synthase	Eukaryota	cellular	80	80	0	0
TCA_cycle_Citrate_synthase	Archaea	cellular	47	47	0	0
TCA_cycle_Citrate_synthase	This_study	viral	15	15	14	3
TCA_cycle_Succ_Dhydrogenase_subunit_C	Bacteria	cellular	146	146	2	1
TCA_cycle_Succ_Dhydrogenase_subunit_C	Eukaryota	cellular	71	71	0	0
TCA_cycle_Succ_Dhydrogenase_subunit_C	Archaea	cellular	4	4	0	0
TCA_cycle_Succ_Dhydrogenase_subunit_C	This_study	viral	32	32	29	2
TCA_succinate_dehydrogenase_subunit_A	Bacteria	cellular	81	81	0	0
TCA_succinate_dehydrogenase_subunit_A	Eukaryota	cellular	68	68	0	0
TCA_succinate_dehydrogenase_subunit_A	Archaea	cellular	32	32	0	0
TCA_succinate_dehydrogenase_subunit_A	This_study	viral	26	26	20	3
TCA_succinate_dehydrogenase_subunit_B	Eukaryota	cellular	76	76	0	0
TCA_succinate_dehydrogenase_subunit_B	Bacteria	cellular	61	61	0	0
TCA_succinate_dehydrogenase_subunit_B	Archaea	cellular	23	23	0	0
TCA_succinate_dehydrogenase_subunit_B	This_study	viral	69	69	58	8
