clean_id	mag_id_short	protein_token	clade	raw_label	fasta_file	length_aa
ERX552244.17|contig_41245_13|MM09	ERX552244.17	contig_41245_13	MM09	ERX552244.17.fa.dc..contig_41245_13...MM09	ERX552244.17.fa.dc.faa	604
ERX552254.5|contig_9118_31|MM01	ERX552254.5	contig_9118_31	MM01	ERX552254.5.fa.dc..contig_9118_31...MM01	ERX552254.5.fa.dc.faa	530
ERX552270.56|contig_4343_8|MM09	ERX552270.56	contig_4343_8	MM09	ERX552270.56.fa.dc..contig_4343_8...MM09	ERX552270.56.fa.dc.faa	606
ERX552296.3|contig_62860_7|MM01	ERX552296.3	contig_62860_7	MM01	ERX552296.3.fa.dc..contig_62860_7...MM01	ERX552296.3.fa.dc.faa	422
ERX552296.3|contig_62860_8|MM01	ERX552296.3	contig_62860_8	MM01	ERX552296.3.fa.dc..contig_62860_8...MM01	ERX552296.3.fa.dc.faa	320
ERX552302.18|contig_8566_4|MM09	ERX552302.18	contig_8566_4	MM09	ERX552302.18.fa.dc..contig_8566_4...MM09	ERX552302.18.fa.dc.faa	604
ERX552302.42|contig_5953_19|MM01	ERX552302.42	contig_5953_19	MM01	ERX552302.42.fa.dc..contig_5953_19...MM01	ERX552302.42.fa.dc.faa	613
ERX555926.27|contig_351_11|MM01	ERX555926.27	contig_351_11	MM01	ERX555926.27.fa.dc..contig_351_11...MM01	ERX555926.27.fa.dc.faa	612
ERX555926.32|contig_26568_21|MM16	ERX555926.32	contig_26568_21	MM16	ERX555926.32.fa.dc..contig_26568_21...MM16	ERX555926.32.fa.dc.faa	488
ERX555941.31|contig_2895_1|MM09	ERX555941.31	contig_2895_1	MM09	ERX555941.31.fa.dc..contig_2895_1...MM09	ERX555941.31.fa.dc.faa	627
ERX555945.3|contig_5025_24|MM09	ERX555945.3	contig_5025_24	MM09	ERX555945.3.fa.dc..contig_5025_24...MM09	ERX555945.3.fa.dc.faa	534
ERX555967.26|contig_3048_54|MM01	ERX555967.26	contig_3048_54	MM01	ERX555967.26.fa.dc..contig_3048_54...MM01	ERX555967.26.fa.dc.faa	725
ERX555967.81|contig_20121_29|MM01	ERX555967.81	contig_20121_29	MM01	ERX555967.81.fa.dc..contig_20121_29...MM01	ERX555967.81.fa.dc.faa	600
ERX556009.10|contig_8666_23|MM01	ERX556009.10	contig_8666_23	MM01	ERX556009.10.fa.dc..contig_8666_23...MM01	ERX556009.10.fa.dc.faa	614
ERX556031.42|contig_30532_15|MM01	ERX556031.42	contig_30532_15	MM01	ERX556031.42.fa.dc..contig_30532_15...MM01	ERX556031.42.fa.dc.faa	289
ERX556037.19|contig_3706_1|MM01	ERX556037.19	contig_3706_1	MM01	ERX556037.19.fa.dc..contig_3706_1...MM01	ERX556037.19.fa.dc.faa	417
ERX556049.12|contig_18569_24|MM01	ERX556049.12	contig_18569_24	MM01	ERX556049.12.fa.dc..contig_18569_24...MM01	ERX556049.12.fa.dc.faa	610
ERX556106.20|contig_1611_176|MM01	ERX556106.20	contig_1611_176	MM01	ERX556106.20.fa.dc..contig_1611_176...MM01	ERX556106.20.fa.dc.faa	610
ERX556127.29|contig_14182_29|MM01	ERX556127.29	contig_14182_29	MM01	ERX556127.29.fa.dc..contig_14182_29...MM01	ERX556127.29.fa.dc.faa	601
ERX555945.3|contig_5025_23|nan	ERX555945.3	contig_5025_23	nan	ERX555945.3.fa.dc..contig_5025_23	ERX555945.3.fa.dc.faa	208
ERX555978.20|contig_1509_57|nan	ERX555978.20	contig_1509_57	nan	ERX555978.20.fa.dc..contig_1509_57	ERX555978.20.fa.dc.faa	71
ERX556015.14|contig_36866_17|nan	ERX556015.14	contig_36866_17	nan	ERX556015.14.fa.dc..contig_36866_17	ERX556015.14.fa.dc.faa	93
ERX552254.5|contig_9118_30|nan	ERX552254.5	contig_9118_30	nan	ERX552254.5.fa.dc..contig_9118_30	ERX552254.5.fa.dc.faa	219
ERX555926.32|contig_26568_22|nan	ERX555926.32	contig_26568_22	nan	ERX555926.32.fa.dc..contig_26568_22	ERX555926.32.fa.dc.faa	194
ERX556031.42|contig_15517_1|nan	ERX556031.42	contig_15517_1	nan	ERX556031.42.fa.dc..contig_15517_1	ERX556031.42.fa.dc.faa	394
ERX556037.19|contig_146031_1|nan	ERX556037.19	contig_146031_1	nan	ERX556037.19.fa.dc..contig_146031_1	ERX556037.19.fa.dc.faa	236
